song_name,artist,album,movie,genre,duration_sec,release_year,rating,popularity_score,mood,language,streams,audio_url
Kuch Kuch Hota Hai,Sonu Nigam,Kuch Kuch Hota Hai,Kuch Kuch Hota Hai,Bollywood,225,1998,4.5,79,Romantic,Hindi,210000000,https://example.com/audio/61.mp3
Tum Saath Ho,A.R. Rahman,Tamasha,Tamasha,Bollywood,245,2015,4.8,95,Romantic,Hindi,480000000,https://example.com/audio/62.mp3
Yaad Piya Ki Aaye,Raag Desh,Yaad Piya Ki Aaye,Yaad Piya Ki Aaye,Bollywood,220,1945,4.4,68,Romantic,Hindi,90000000,https://example.com/audio/63.mp3
Mohabbat Ki Jhutti,Lata Mangeshkar,Umrao Jaan,Umrao Jaan,Bollywood,240,1981,4.6,82,Romantic,Hindi,160000000,https://example.com/audio/64.mp3
In Aankhon Ki Masti,Jagjit Singh,In Aankhon Ki Masti,In Aankhon Ki Masti,Bollywood,225,1981,4.7,86,Romantic,Hindi,190000000,https://example.com/audio/65.mp3
Likhe Jo Khat Tume,Rolf Harris,Chandni,Chandni,Bollywood,250,1989,4.8,92,Romantic,Hindi,280000000,https://example.com/audio/66.mp3
Dil To Pagal Hai,Udit Narayan,DTPH,Dil To Pagal Hai,Bollywood,235,1997,4.6,81,Romantic,Hindi,200000000,https://example.com/audio/67.mp3
Yeh Raat Bheegi Bheegi,Geeta Dutt,CID,CID,Bollywood,240,1956,4.5,76,Romantic,Hindi,110000000,https://example.com/audio/68.mp3
Acha Lagta Nahi,Mukesh,Pyaasa,Pyaasa,Bollywood,255,1957,4.7,85,Melancholic,Hindi,140000000,https://example.com/audio/69.mp3
O Sanam Mere Sanam,Lata Mangeshkar,Badshaah,Badshaah,Bollywood,240,1988,4.6,80,Romantic,Hindi,150000000,https://example.com/audio/70.mp3
Roop Tera Mastana,Lata Mangeshkar,Khuda Hafiz,Khuda Hafiz,Bollywood,220,1968,4.6,83,Romantic,Hindi,170000000,https://example.com/audio/71.mp3
Baharon Phool Barsao,Lata Mangeshkar,Suraj,Suraj,Bollywood,235,1966,4.5,78,Upbeat,Hindi,120000000,https://example.com/audio/72.mp3
Jaiho,A.R. Rahman,Slumdog Millionaire,Slumdog Millionaire,Bollywood,210,2008,4.7,87,Upbeat,Hindi,360000000,https://example.com/audio/73.mp3
Jai Ho Ramesh Babu,Shreya Ghoshal,English Vinglish,English Vinglish,Bollywood,225,2012,4.5,77,Upbeat,Hindi,170000000,https://example.com/audio/74.mp3
Agar Tum Mil Jao,Sunidhi Chauhan,Kaise Mujhe Tum Mil Gaye,Kaise Mujhe Tum Mil Gaye,Bollywood,240,2009,4.6,82,Romantic,Hindi,230000000,https://example.com/audio/75.mp3
Tenu Leke Jaaunga,Pritam,Kal Ho Naa Ho,Kal Ho Naa Ho,Bollywood,235,2003,4.7,88,Romantic,Hindi,310000000,https://example.com/audio/76.mp3
Kisi Disco Mein Jaaye,Badshah,Ullu Ka Pattha,Ullu Ka Pattha,Bollywood,210,2011,4.4,71,Energetic,Hindi,190000000,https://example.com/audio/77.mp3
Aaj Mere Yaar Ki Shaadi,Suresh Wadkar,Aaj Mere Yaar Ki Shaadi,Aaj Mere Yaar Ki Shaadi,Bollywood,270,1985,4.5,75,Upbeat,Hindi,130000000,https://example.com/audio/78.mp3
Jind Meri Jaan,Lata Mangeshkar,Khushi,Khushi,Bollywood,240,2003,4.6,81,Romantic,Hindi,180000000,https://example.com/audio/79.mp3
Chandni O Meri Chandni,Lata Mangeshkar,Chandni,Chandni,Bollywood,245,1989,4.7,89,Romantic,Hindi,290000000,https://example.com/audio/80.mp3
Din Ka Aaghaz Karte Hain,Rafi,Azaad,Azaad,Bollywood,215,1955,4.4,69,Upbeat,Hindi,85000000,https://example.com/audio/81.mp3
Mere Naina Sawan Bade Natkhat,Lata Mangeshkar,Satyaprem Ki Katha,Satyaprem Ki Katha,Bollywood,240,2023,4.7,86,Romantic,Hindi,240000000,https://example.com/audio/82.mp3
Tera Mera Saath Rahe,Lata Mangeshkar,Silsila,Silsila,Bollywood,235,1981,4.6,84,Romantic,Hindi,200000000,https://example.com/audio/83.mp3
Mere Paas Aao,Lata Mangeshkar,Silsila,Silsila,Bollywood,220,1981,4.5,79,Romantic,Hindi,160000000,https://example.com/audio/84.mp3
Mere Khyalon Mein Raat Din,Rafi,Phool Aur Patthar,Phool Aur Patthar,Bollywood,245,1966,4.6,82,Romantic,Hindi,140000000,https://example.com/audio/85.mp3
Saat Samundar Paar,Lata Mangeshkar,Chandni Bar,Chandni Bar,Bollywood,240,1978,4.7,88,Romantic,Hindi,270000000,https://example.com/audio/86.mp3
Bahon Mein Chale Aao,Lata Mangeshkar,Silsila,Silsila,Bollywood,225,1981,4.5,80,Romantic,Hindi,170000000,https://example.com/audio/87.mp3
Maine Likha Hai,Asha Parekh,Ek Tha Raja,Ek Tha Raja,Bollywood,230,1951,4.4,73,Romantic,Hindi,100000000,https://example.com/audio/88.mp3
Phir Milenge Chalte Chalte,Shamshad Begum,Footpath,Footpath,Bollywood,240,1953,4.3,65,Romantic,Hindi,75000000,https://example.com/audio/89.mp3
Milte Hi Ankhen,Lata Mangeshkar,Pakeezah,Pakeezah,Bollywood,235,1972,4.7,87,Romantic,Hindi,220000000,https://example.com/audio/90.mp3
Dil Kya Kare Jab Kisi Ko Pyar,Rafi,Anari,Anari,Bollywood,245,1959,4.5,78,Romantic,Hindi,105000000,https://example.com/audio/91.mp3
Sapna Mera Toot Gaya,Rafi,Shaan,Shaan,Bollywood,240,1980,4.5,77,Melancholic,Hindi,125000000,https://example.com/audio/92.mp3
Dil Se Teri Baat,Rafi,Do Raaste,Do Raaste,Bollywood,225,1969,4.4,72,Romantic,Hindi,95000000,https://example.com/audio/93.mp3
Lamhe Teri Judayee Ke,Lata Mangeshkar,Pakeezah,Pakeezah,Bollywood,250,1972,4.6,83,Melancholic,Hindi,185000000,https://example.com/audio/94.mp3
Raat Bhor,Lata Mangeshkar,Chandni,Chandni,Bollywood,240,1989,4.7,88,Romantic,Hindi,260000000,https://example.com/audio/95.mp3
Zara Aa Gale Lagja,Lata Mangeshkar,Aradhana,Aradhana,Bollywood,235,1969,4.6,85,Romantic,Hindi,210000000,https://example.com/audio/96.mp3
Ab Ke Baras,Lata Mangeshkar,Umrao Jaan,Umrao Jaan,Bollywood,245,1981,4.7,87,Romantic,Hindi,240000000,https://example.com/audio/97.mp3
Tumne Sanam Banaya,Lata Mangeshkar,Pakeezah,Pakeezah,Bollywood,230,1972,4.6,84,Romantic,Hindi,200000000,https://example.com/audio/98.mp3
Aaj Rapat Jaye,Lata Mangeshkar,Silsila,Silsila,Bollywood,220,1981,4.5,80,Romantic,Hindi,160000000,https://example.com/audio/99.mp3
Kahe Toh Bheegi Bhaagi,Asha Parekh,Hera Pheri,Hera Pheri,Bollywood,235,1976,4.5,76,Upbeat,Hindi,110000000,https://example.com/audio/100.mp3
Dilbar Dilbar,Sushmita Sen,Sirf Tum,Sirf Tum,Bollywood,220,1999,4.6,83,Upbeat,Hindi,290000000,https://example.com/audio/101.mp3
Abhi Na Jao Chhod Kar,Rafi,Hera Pheri,Hera Pheri,Bollywood,245,1976,4.6,82,Romantic,Hindi,170000000,https://example.com/audio/102.mp3
Chhalka Chhalke,Lata Mangeshkar,Silsila,Silsila,Bollywood,235,1981,4.5,79,Romantic,Hindi,145000000,https://example.com/audio/103.mp3
Kya Hua Tera Vada,Rafi,Hera Pheri,Hera Pheri,Bollywood,240,1976,4.7,86,Romantic,Hindi,210000000,https://example.com/audio/104.mp3
Yeh Ladki Pagal Deewani Hai,Lata Mangeshkar,Silsila,Silsila,Bollywood,225,1981,4.4,74,Upbeat,Hindi,130000000,https://example.com/audio/105.mp3
Jaise Suraj Ka Ujala,Mukesh,Pakeezah,Pakeezah,Bollywood,240,1972,4.5,77,Upbeat,Hindi,110000000,https://example.com/audio/106.mp3
Raina Beeti Jaye,Talat Mahmood,Aas,Aas,Bollywood,250,1949,4.4,66,Romantic,Hindi,70000000,https://example.com/audio/107.mp3
Yahan Behta Tha,Rafi,Pakeezah,Pakeezah,Bollywood,245,1972,4.5,78,Melancholic,Hindi,125000000,https://example.com/audio/108.mp3
Hum Rahe Hain Khusiyayen,Lata Mangeshkar,Pakeezah,Pakeezah,Bollywood,235,1972,4.6,81,Romantic,Hindi,155000000,https://example.com/audio/109.mp3
Thandi Hawayen,Rafi,Umrao Jaan,Umrao Jaan,Bollywood,240,1981,4.6,83,Romantic,Hindi,185000000,https://example.com/audio/110.mp3
Aaj Phir Teri Yaad,Asha Parekh,Aashiqui,Aashiqui,Bollywood,245,1990,4.7,87,Romantic,Hindi,270000000,https://example.com/audio/111.mp3
Tere Bina Zindagi,Udit Narayan,Murder,Murder,Bollywood,220,2004,4.5,75,Romantic,Hindi,140000000,https://example.com/audio/112.mp3
Dil Dheere Chalne Laga,Sunidhi Chauhan,Lakshya,Lakshya,Bollywood,240,2004,4.6,80,Romantic,Hindi,190000000,https://example.com/audio/113.mp3
Iss Qadar Pyar,Atif Aslam,Raees,Raees,Bollywood,225,2017,4.7,88,Romantic,Hindi,340000000,https://example.com/audio/114.mp3
Tum Tak,Arijit Singh,Raazi,Raazi,Bollywood,220,2018,4.8,96,Romantic,Hindi,450000000,https://example.com/audio/115.mp3
Aaj Haan Bolkar Dekh,Lata Mangeshkar,Zamaana,Zamaana,Bollywood,235,1975,4.4,71,Romantic,Hindi,90000000,https://example.com/audio/116.mp3
Tukur Tukur Dekh Raha,Lata Mangeshkar,Silsila,Silsila,Bollywood,240,1981,4.5,79,Romantic,Hindi,155000000,https://example.com/audio/117.mp3
Chali Nahi Ayi Jhooth Bolun,Rafi,Naya Daur,Naya Daur,Bollywood,250,1957,4.5,74,Upbeat,Hindi,85000000,https://example.com/audio/118.mp3
Mera Naam Hai Asha,Asha Parekh,Dilli Ka Thug,Dilli Ka Thug,Bollywood,225,1958,4.3,68,Romantic,Hindi,65000000,https://example.com/audio/119.mp3
Chahe Rahe Duniya,Rafi,Bandhan,Bandhan,Bollywood,240,1965,4.5,77,Romantic,Hindi,110000000,https://example.com/audio/120.mp3
Jab Tak Hai Jaan,Sonu Nigam,Jab Tak Hai Jaan,Jab Tak Hai Jaan,Bollywood,245,2012,4.8,94,Romantic,Hindi,410000000,https://example.com/audio/121.mp3
Ishq Wala Love,Ranveer Singh,Band Baaja Baaraat,Band Baaja Baaraat,Bollywood,220,2011,4.5,77,Upbeat,Hindi,220000000,https://example.com/audio/122.mp3
Chikni Chameli,Shreya Ghoshal,Agneepath,Agneepath,Bollywood,200,2012,4.5,74,Energetic,Hindi,180000000,https://example.com/audio/123.mp3
Dil Bole Hadippa,Sonu Nigam,Dil Bole Hadippa,Dil Bole Hadippa,Bollywood,240,2009,4.5,76,Upbeat,Hindi,160000000,https://example.com/audio/124.mp3
I Love You Ki Love Story,Shreya Ghoshal,Raees,Raees,Bollywood,215,2017,4.5,73,Romantic,Hindi,140000000,https://example.com/audio/125.mp3
Mere Pyare Sapne,Shaan,Khanna,Khanna,Bollywood,235,2007,4.4,70,Romantic,Hindi,120000000,https://example.com/audio/126.mp3
Pyar Ka Rog,Atif Aslam,Taal,Taal,Bollywood,240,1999,4.6,82,Romantic,Hindi,210000000,https://example.com/audio/127.mp3
Dil Ke Armaan,Arijit Singh,Deewangee,Deewangee,Bollywood,220,2005,4.5,75,Romantic,Hindi,130000000,https://example.com/audio/128.mp3
Tujhe Surah Tha,Arijit Singh,Gandii Baat,Gandii Baat,Bollywood,225,2015,4.6,79,Romantic,Hindi,170000000,https://example.com/audio/129.mp3
Tum Se Milna,Darshan Raval,Piku,Piku,Bollywood,240,2015,4.7,84,Romantic,Hindi,260000000,https://example.com/audio/130.mp3
Neha Kakkar Phir Se Yaad,Neha Kakkar,Prem Ratan Dhan Payo,Prem Ratan Dhan Payo,Bollywood,220,2015,4.4,68,Romantic,Hindi,130000000,https://example.com/audio/131.mp3
Kabhii Naa Kabhii,Atif Aslam,Murder 2,Murder 2,Bollywood,245,2011,4.5,76,Romantic,Hindi,150000000,https://example.com/audio/132.mp3
Yaad Aa Raha Hai,Arijit Singh,Tum Bin,Tum Bin,Bollywood,235,2001,4.7,86,Romantic,Hindi,240000000,https://example.com/audio/133.mp3
Tere Sang Yaara,Atif Aslam,Rustom,Rustom,Bollywood,240,2016,4.8,95,Romantic,Hindi,420000000,https://example.com/audio/134.mp3
Chahun Main Ya Naa,Vishal Dadlani,Aashiqui 2,Aashiqui 2,Bollywood,225,2013,4.8,94,Romantic,Hindi,380000000,https://example.com/audio/135.mp3
Kab Se Ho Gaye Hum Tere,Arijit Singh,Aashiqui,Aashiqui,Bollywood,240,1990,4.7,87,Romantic,Hindi,280000000,https://example.com/audio/136.mp3
Rut Badalti Hai,Arijit Singh,Life of Pi,Life of Pi,Bollywood,215,2012,4.6,81,Romantic,Hindi,200000000,https://example.com/audio/137.mp3
Tum Nahi Ho Sakoge Kamaal,Atif Aslam,Bet Your Life,Bet Your Life,Bollywood,230,2012,4.5,74,Romantic,Hindi,130000000,https://example.com/audio/138.mp3
Saans,Shreya Ghoshal,Jab Tak Hai Jaan,Jab Tak Hai Jaan,Bollywood,245,2012,4.8,94,Romantic,Hindi,400000000,https://example.com/audio/139.mp3
Marjani,Arijit Singh,Roy,Roy,Bollywood,240,2015,4.7,86,Romantic,Hindi,300000000,https://example.com/audio/140.mp3
Suna Hai,Arijit Singh,Raees,Raees,Bollywood,220,2017,4.6,80,Romantic,Hindi,210000000,https://example.com/audio/141.mp3
Firaak,Arijit Singh,Raees,Raees,Bollywood,235,2017,4.7,85,Melancholic,Hindi,270000000,https://example.com/audio/142.mp3
Tere Naam,Atif Aslam,Tere Naam,Tere Naam,Bollywood,240,2003,4.7,88,Romantic,Hindi,320000000,https://example.com/audio/143.mp3
Kabhi Kabhi,Mukesh,Kabhi Kabhi,Kabhi Kabhi,Bollywood,250,1976,4.7,87,Romantic,Hindi,280000000,https://example.com/audio/144.mp3
Mere Paas Tum Ho,Raag Desh,Meri Awaaz Suno,Meri Awaaz Suno,Bollywood,240,1981,4.6,82,Romantic,Hindi,200000000,https://example.com/audio/145.mp3
Teri Khushboo,Arijit Singh,Loafer,Loafer,Bollywood,220,2015,4.6,80,Romantic,Hindi,190000000,https://example.com/audio/146.mp3
Tera Hone Laga Hoon,Atif Aslam,Ajab Prem Ki Ghazab Kahani,Ajab Prem Ki Ghazab Kahani,Bollywood,240,2009,4.7,86,Romantic,Hindi,310000000,https://example.com/audio/147.mp3
Bekhudi,Arijit Singh,Raees,Raees,Bollywood,225,2017,4.7,87,Romantic,Hindi,290000000,https://example.com/audio/148.mp3
Dheere Dheere Se,Arijit Singh,Chandni,Chandni,Bollywood,235,1989,4.8,95,Romantic,Hindi,440000000,https://example.com/audio/149.mp3
Mujhe Neend Na Aaye,Atif Aslam,MS Dhoni,MS Dhoni: The Untold Story,Bollywood,245,2016,4.7,85,Romantic,Hindi,260000000,https://example.com/audio/150.mp3
Rishta Tera Mera,Arijit Singh,Rishta Tera Mera,Rishta Tera Mera,Bollywood,220,2009,4.6,79,Romantic,Hindi,180000000,https://example.com/audio/151.mp3
Teri Aankhon Mein,Arijit Singh,Zareen Khan,Zareen Khan,Bollywood,240,2017,4.7,84,Romantic,Hindi,280000000,https://example.com/audio/152.mp3
Raaste Raaste,Arijit Singh,Raees,Raees,Bollywood,225,2017,4.6,81,Romantic,Hindi,220000000,https://example.com/audio/153.mp3
Tujhe Shukriya,Atif Aslam,Lonely,Lonely,Bollywood,230,2012,4.6,80,Romantic,Hindi,200000000,https://example.com/audio/154.mp3
Raina Beeti,Arijit Singh,Yeh Jawaani Hai Deewani,Yeh Jawaani Hai Deewani,Bollywood,240,2013,4.8,93,Romantic,Hindi,380000000,https://example.com/audio/155.mp3
Mere Dil Ko Shaanti,Arijit Singh,Zindagi Imli Hai,Zindagi Imli Hai,Bollywood,220,2011,4.5,75,Romantic,Hindi,140000000,https://example.com/audio/156.mp3
Tere Naal Love Ho Gaya,Atif Aslam,Tera Hero,Tera Hero,Bollywood,235,2014,4.6,82,Romantic,Hindi,230000000,https://example.com/audio/157.mp3
Badla Teri Teri Khushboo,Arijit Singh,Kaam 25,Kaam 25,Bollywood,240,2012,4.5,76,Romantic,Hindi,160000000,https://example.com/audio/158.mp3
Mohabbat Karne Wale,Arijit Singh,Mohabbat Karne Wale,Mohabbat Karne Wale,Bollywood,225,2009,4.6,81,Romantic,Hindi,210000000,https://example.com/audio/159.mp3
Tere Liye Main,Arijit Singh,Zindagi Se Zyada Khaas,Zindagi Se Zyada Khaas,Bollywood,230,2013,4.7,84,Romantic,Hindi,260000000,https://example.com/audio/160.mp3
Tujhe Dekh Dekh,Arijit Singh,Raees,Raees,Bollywood,240,2017,4.8,96,Romantic,Hindi,500000000,https://example.com/audio/161.mp3
Mere Armaan,Arijit Singh,Bet Your Life,Bet Your Life,Bollywood,220,2012,4.6,80,Romantic,Hindi,200000000,https://example.com/audio/162.mp3
Teri Marzi,Arijit Singh,Marzi,Marzi,Bollywood,235,2013,4.7,85,Romantic,Hindi,270000000,https://example.com/audio/163.mp3
Ek Ladki Ko Dekha,Arijit Singh,1942 A Love Story,1942 A Love Story,Bollywood,240,1994,4.7,88,Romantic,Hindi,310000000,https://example.com/audio/164.mp3
Suna Hai Phir Bhi,Arijit Singh,Raees,Raees,Bollywood,225,2017,4.6,82,Romantic,Hindi,240000000,https://example.com/audio/165.mp3
Rishtey Mein Tum,Arijit Singh,Rishtey Mein Tum,Rishtey Mein Tum,Bollywood,240,2015,4.7,87,Romantic,Hindi,300000000,https://example.com/audio/166.mp3
Tujhe Shukriya Dil Se,Arijit Singh,Tujhe Shukriya,Tujhe Shukriya,Bollywood,220,2011,4.6,81,Romantic,Hindi,220000000,https://example.com/audio/167.mp3
